age,d
0,0.01
1,0.01
2,0.01
3,0.01
4,0.01
5,0.01
6,0.01
7,0.01
8,0.01
9,0.01
10,0.01
11,0.01
12,0.01
13,0.01
14,0.01
15,0.01
16,0.01
17,0.01
18,0.01
19,0.01
20,0.01
21,0.01
22,0.01
23,0.01
24,0.01
25,0.01
26,0.01
27,0.01
28,0.01
29,0.01
30,0.01
31,0.01
32,0.01
33,0.01
34,0.01
35,0.01
36,0.01
37,0.01
38,0.01
39,0.01
40,0.01
41,0.01
42,0.01
43,0.01
44,0.01
45,0.01
46,0.01
47,0.01
48,0.01
49,0.01
50,0.01
51,0.011
52,0.011
53,0.012
54,0.012
55,0.013
56,0.013
57,0.014
58,0.014
59,0.015
60,0.015
61,0.015
62,0.015
63,0.015
64,0.015
65,0.015
66,0.015
67,0.015
68,0.015
69,0.015
70,0.015
71,0.015
72,0.015
73,0.015
74,0.015
75,0.015
76,0.015
77,0.015
78,0.015
79,0.015
80,0.015
81,0.014
82,0.013
83,0.013
84,0.012
85,0.011
86,0.01
87,0.009
88,0.009
89,0.008
90,0.007
91,0.007
92,0.006
93,0.005
94,0.005
95,0.004
96,0.004
97,0.003
98,0.003
99,0.002
100,0.002
101,0.002
102,0.001
103,0.001
104,0
105,0
